"","ME8","ME2","ME9","ME13","ME6","ME11","ME7","ME1","ME3","ME14","ME4","ME5","ME10","ME12","ME0"
"normal.rep10",0.208659054519556,-0.0822736276805239,-0.0386717503230218,-0.0930906010977865,-0.0669510490702351,-0.042700707517957,-0.0317338153441239,0.039609947383061,0.081288731433986,-0.115235743129312,0.168884083885259,0.140642700297176,0.114832603157035,0.128432813396369,0.075411744038522
"normal.rep11",0.155262847057776,0.272621580539145,0.370461923172521,0.0735350511358416,-0.0390431161168524,0.0566479902909742,-0.0235775316870587,-0.199973407828026,-0.128372326891847,0.0344579572398551,-0.0946676120698403,0.1055105800717,-0.200806801258942,-0.108619128146719,0.0657944788820331
"normal.rep12",0.267479467707203,-0.064034222688638,-0.0596599143880947,-0.119295403300826,-0.0554863584936141,-0.0729404908902268,0.0532855142200649,0.0764688276880227,0.0131557329004986,-0.0790518743580929,0.173335181216487,0.120498400096052,0.0266697743121712,0.147841230972437,0.0951365822295156
"normal.rep13",0.244730815460099,-0.0537859737042471,-0.0416571580365627,-0.104673505150649,-0.0422969263709313,-0.0337826782871517,0.00194857395277739,0.0655739868605835,0.0140008600471575,-0.0806077511318749,0.109551071303371,0.106477026856006,0.00501872848449781,0.100378523948634,0.0863576513572592
"normal.rep14",-0.0244863922261631,0.232693420248318,0.229302536830692,0.172914862163483,-0.235433740970577,-0.424933657852111,-0.315378353486074,-0.365184085540631,-0.285261043237594,0.00248833364517399,-0.117106823679755,0.101754729923811,-0.0748296027010524,-0.577603306028789,-0.32259705774511
"normal.rep15",0.109082844984419,0.251660334343014,0.346096464162286,0.0645154447214866,-0.104834906642317,0.00128759047457512,-0.0800389297713371,-0.22212142580158,-0.100015735196446,0.0228102258012317,-0.0703015129968228,0.0981464312090568,-0.0343473678602503,-0.0839377750602614,0.00417254386445584
"normal.rep16",-0.0835133867269277,-0.0722634396498536,0.00268333344804805,-0.0868814783495704,-0.0505682095158811,-0.0566167287916702,0.0194919817907267,0.0403165612452804,0.0400763732377998,0.151730080182321,0.157156374033543,0.144943186298538,0.0951397073271689,0.133088754133771,0.087990508433121
"normal.rep17",-0.0708046751906856,-0.0485868527329073,-0.0339091272646502,-0.168578825440218,-0.0787487010192265,-0.0791570090004992,-0.064089729701361,0.0448331895997534,0.00969338995765819,0.286521189465053,0.131524201404687,0.126036321403343,0.0589219412014969,0.118716887165885,0.0622718447853783
"normal.rep18",-0.0762922797864934,-0.0716447119610012,-0.00293137777603925,-0.186580143024286,-0.107615054716859,-0.0908032604872446,-0.0229145290065613,0.0476006704745349,0.0317416762701393,0.1859535517021,0.136730506144758,0.137497649130227,0.0617859663325334,0.136321756615243,0.0711329799562349
"normal.rep19",0.253862123198339,0.196205947146591,0.265520321603048,0.040539537144876,-0.183427006341721,0.117412279648188,-0.118994744452396,-0.207608355728213,-0.0614015760747482,-0.0205695931692827,-0.0514759283812669,0.0795736638402102,-0.0169999814181519,-0.0833070054179022,-0.0624682138624902
